Q1 2026						Q1 2027					
	January	Febuary	March				January	Febuary	March		คูณยอดเงินด้วย 0.03 เพื่อหายอดที่ถูกหัก
Seeding	56,000.00	63,000.00	12,500.00			Seeding					คูณยอดเงินด้วย 0.07 เพื่อหายอด VAT
Macro / Mega	130,000.00	0.00	0.00			Macro / Mega					
Mid-tier	0.00	17,000.00	66,200.00			Mid-tier					
Micro	0.00	1,050.00	18,200.00			Micro					
Nano	0.00	0.00	0.00			Nano					
Affiliate Bonus	0.00	0.00	0.00			Affiliate Bonus					
Total	186,000.00	81,050.00	96,900.00	363,950.00		Total				0	
Q2 2026						Q2 2027					
	April	May	June				April	May	June		
Seeding	94,500.00	40,000.00				Seeding					
Macro / Mega	80,000.00	124,800.00				Macro / Mega					
Mid-tier	14,550.00	150,800.00				Mid-tier					
Micro	2,000.00	0.00				Micro					
Nano	0.00	0.00				Nano					
Affiliate Bonus	14,000.00	0.00				Affiliate Bonus					
Total	205,050.00	315,600.00		520,650.00		Total				0	
Q3 2026						Q3 2027					
	July	August	September				July	August	September		
Seeding						Seeding					
Macro / Mega						Macro / Mega					
Mid-tier						Mid-tier					
Micro						Micro					
Nano						Nano					
Affiliate Bonus						Affiliate Bonus					
Total				0		Total				0	
Q4 2026						Q4 2027					
	October	November	December				October	November	December		
Seeding						Seeding					
Macro / Mega						Macro / Mega					
Mid-tier						Mid-tier					
Micro						Micro					
Nano						Nano					
Affiliate Bonus						Affiliate Bonus					
Total				0		Total				0	
